County,Population
Total,"5,758,736"
".Adams County, Colorado","517,421"
".Alamosa County, Colorado","16,233"
".Arapahoe County, Colorado","656,590"
".Archuleta County, Colorado","14,029"
".Baca County, Colorado","3,581"
".Bent County, Colorado","5,577"
".Boulder County, Colorado","326,196"
".Broomfield County, Colorado","70,465"
".Chaffee County, Colorado","20,356"
".Cheyenne County, Colorado","1,831"
".Clear Creek County, Colorado","9,700"
".Conejos County, Colorado","8,205"
".Costilla County, Colorado","3,887"
".Crowley County, Colorado","6,061"
".Custer County, Colorado","5,068"
".Delta County, Colorado","31,162"
".Denver County, Colorado","727,211"
".Dolores County, Colorado","2,055"
".Douglas County, Colorado","351,154"
".Eagle County, Colorado","55,127"
".Elbert County, Colorado","26,729"
".El Paso County, Colorado","720,403"
".Fremont County, Colorado","47,839"
".Garfield County, Colorado","60,061"
".Gilpin County, Colorado","6,243"
".Grand County, Colorado","15,734"
".Gunnison County, Colorado","17,462"
".Hinsdale County, Colorado",820
".Huerfano County, Colorado","6,897"
".Jackson County, Colorado","1,392"
".Jefferson County, Colorado","582,881"
".Kiowa County, Colorado","1,406"
".Kit Carson County, Colorado","7,097"
".Lake County, Colorado","8,127"
".La Plata County, Colorado","56,221"
".Larimer County, Colorado","356,899"
".Las Animas County, Colorado","14,506"
".Lincoln County, Colorado","5,701"
".Logan County, Colorado","22,409"
".Mesa County, Colorado","154,210"
".Mineral County, Colorado",769
".Moffat County, Colorado","13,283"
".Montezuma County, Colorado","26,183"
".Montrose County, Colorado","42,758"
".Morgan County, Colorado","29,068"
".Otero County, Colorado","18,278"
".Ouray County, Colorado","4,952"
".Park County, Colorado","18,845"
".Phillips County, Colorado","4,265"
".Pitkin County, Colorado","17,767"
".Prowers County, Colorado","12,172"
".Pueblo County, Colorado","168,424"
".Rio Blanco County, Colorado","6,324"
".Rio Grande County, Colorado","11,267"
".Routt County, Colorado","25,638"
".Saguache County, Colorado","6,824"
".San Juan County, Colorado",728
".San Miguel County, Colorado","8,179"
".Sedgwick County, Colorado","2,248"
".Summit County, Colorado","31,011"
".Teller County, Colorado","25,388"
".Washington County, Colorado","4,908"
".Weld County, Colorado","324,492"
".Yuma County, Colorado","10,019"
,
